observation_date,common_name,sampling_event_identifier,location_id
2023-01-01,Northern Cardinal,CHK0,L1210588
2023-01-02,Northern Cardinal,CHK1,L1210588
2023-01-03,Northern Cardinal,CHK2,L1210588
2023-01-04,Northern Cardinal,CHK3,L1210588
2023-01-05,Northern Cardinal,CHK4,L1210588
2023-01-06,Northern Cardinal,CHK5,L1210588
2023-01-07,Northern Cardinal,CHK6,L1210588
2023-01-08,Northern Cardinal,CHK7,L1210588
2023-01-09,Northern Cardinal,CHK8,L1210588
2023-01-10,Northern Cardinal,CHK9,L1210588
2023-01-11,Northern Cardinal,CHK10,L1210588
2023-01-12,Northern Cardinal,CHK11,L1210588
2023-01-13,Northern Cardinal,CHK12,L1210588
2023-01-14,Northern Cardinal,CHK13,L1210588
2023-01-15,Northern Cardinal,CHK14,L1210588
2023-01-16,Northern Cardinal,CHK15,L1210588
2023-01-17,Northern Cardinal,CHK16,L1210588
2023-01-18,Northern Cardinal,CHK17,L1210588
2023-01-19,Northern Cardinal,CHK18,L1210588
2023-01-20,Northern Cardinal,CHK19,L1210588
2023-01-21,Northern Cardinal,CHK20,L1210588
2023-01-22,Northern Cardinal,CHK21,L1210588
2023-01-23,Northern Cardinal,CHK22,L1210588
2023-01-24,Northern Cardinal,CHK23,L1210588
2023-01-25,Northern Cardinal,CHK24,L1210588
2023-01-26,Northern Cardinal,CHK25,L1210588
2023-01-27,Northern Cardinal,CHK26,L1210588
2023-01-28,Northern Cardinal,CHK27,L1210588
2023-01-29,Northern Cardinal,CHK28,L1210588
2023-01-30,Northern Cardinal,CHK29,L1210588
2023-01-31,Northern Cardinal,CHK30,L1210588
2023-02-01,Northern Cardinal,CHK31,L1210588
2023-02-02,Northern Cardinal,CHK32,L1210588
2023-02-03,Northern Cardinal,CHK33,L1210588
2023-02-04,Northern Cardinal,CHK34,L1210588
2023-02-05,Northern Cardinal,CHK35,L1210588
2023-02-06,Northern Cardinal,CHK36,L1210588
2023-02-07,Northern Cardinal,CHK37,L1210588
2023-02-08,Northern Cardinal,CHK38,L1210588
2023-02-09,Northern Cardinal,CHK39,L1210588
2023-02-10,Northern Cardinal,CHK40,L1210588
2023-02-11,Northern Cardinal,CHK41,L1210588
2023-02-12,Northern Cardinal,CHK42,L1210588
2023-02-13,Northern Cardinal,CHK43,L1210588
2023-02-14,Northern Cardinal,CHK44,L1210588
2023-02-15,Northern Cardinal,CHK45,L1210588
2023-02-16,Northern Cardinal,CHK46,L1210588
2023-02-17,Northern Cardinal,CHK47,L1210588
2023-02-18,Northern Cardinal,CHK48,L1210588
2023-02-19,Northern Cardinal,CHK49,L1210588
2023-02-20,Blue Jay,CHK50,L1210588
2023-02-21,Blue Jay,CHK51,L1210588
2023-02-22,Blue Jay,CHK52,L1210588
2023-02-23,Blue Jay,CHK53,L1210588
2023-02-24,Blue Jay,CHK54,L1210588
2023-02-25,Blue Jay,CHK55,L1210588
2023-02-26,Blue Jay,CHK56,L1210588
2023-02-27,Blue Jay,CHK57,L1210588
2023-02-28,Blue Jay,CHK58,L1210588
2023-03-01,Blue Jay,CHK59,L1210588
2023-03-02,Blue Jay,CHK60,L1210588
2023-03-03,Blue Jay,CHK61,L1210588
2023-03-04,Blue Jay,CHK62,L1210588
2023-03-05,Blue Jay,CHK63,L1210588
2023-03-06,Blue Jay,CHK64,L1210588
2023-03-07,Blue Jay,CHK65,L1210588
2023-03-08,Blue Jay,CHK66,L1210588
2023-03-09,Blue Jay,CHK67,L1210588
2023-03-10,Blue Jay,CHK68,L1210588
2023-03-11,Blue Jay,CHK69,L1210588
2023-03-12,Blue Jay,CHK70,L1210588
2023-03-13,Blue Jay,CHK71,L1210588
2023-03-14,Blue Jay,CHK72,L1210588
2023-03-15,Blue Jay,CHK73,L1210588
2023-03-16,Blue Jay,CHK74,L1210588
2023-03-17,Blue Jay,CHK75,L1210588
2023-03-18,Blue Jay,CHK76,L1210588
2023-03-19,Blue Jay,CHK77,L1210588
2023-03-20,Blue Jay,CHK78,L1210588
2023-03-21,Blue Jay,CHK79,L1210588
2023-03-22,Blue Jay,CHK80,L1210588
2023-03-23,Blue Jay,CHK81,L1210588
2023-03-24,Blue Jay,CHK82,L1210588
2023-03-25,Blue Jay,CHK83,L1210588
2023-03-26,Blue Jay,CHK84,L1210588
2023-03-27,Blue Jay,CHK85,L1210588
2023-03-28,Blue Jay,CHK86,L1210588
2023-03-29,Blue Jay,CHK87,L1210588
2023-03-30,Blue Jay,CHK88,L1210588
2023-03-31,Blue Jay,CHK89,L1210588
2023-04-01,Blue Jay,CHK90,L1210588
2023-04-02,Blue Jay,CHK91,L1210588
2023-04-03,Blue Jay,CHK92,L1210588
2023-04-04,Blue Jay,CHK93,L1210588
2023-04-05,Blue Jay,CHK94,L1210588
2023-04-06,Blue Jay,CHK95,L1210588
2023-04-07,Blue Jay,CHK96,L1210588
2023-04-08,Blue Jay,CHK97,L1210588
2023-04-09,Blue Jay,CHK98,L1210588
2023-04-10,Blue Jay,CHK99,L1210588
